Date,Description,Montant,Détails,Apparait sur votre relevé de compte sous,Adresse,Ville,Code postal,Pays,Référence
10/07/2023,GRUPO M-A ALOJAMIENTOS,50.40,,"7 oct 8 oct GRUPO M-A ALOJAMIENTOS MADRID 50,40",,MADRID,,,
10/18/2023,KRYTERION WEBASSESSOR,234.28,,"18 oct 18 oct KRYTERION WEBASSESSOR PHOENIX 234,28",,PHOENIX,,,
10/20/2023,VERSEMENT / COTISATION,15.00,,"20oct 20oct VERSEMENT / COTISATION 15,00",,,,,
10/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-572.16,,"24oct 24oct PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 572,16",,,,,
10/21/2023,AIR FRANCE,167.79,,"21 oct 22 oct AIR FRANCE PARAY-VIEILLE-P 167,79",,PARAY-VIEILLE-P,,,
10/29/2023,WEBLOYALTY SARL,18.00,,"29oct 29oct WEBLOYALTY SARL NYON 18,00",,NYON,,,
11/02/2023,DARTY.COM 907040 SITE I,149.00,,"2 nov 2 nov DARTY.COM 907040 SITE I BONDY 149,00",,BONDY,,,
11/07/2023,DELL SOUTHERN EUROPE DE,529.36,,"7 nov 7 nov DELL SOUTHERN EUROPE DE MONTPELLIER 529,36",,MONTPELLIER,,,
11/17/2023,"EXAMTOPICS FABULIVE UNIT B, 17/F.,",37.93,,"17 nov 17 nov EXAMTOPICS FABULIVE UNIT B, 17/F., 37,93",,,,,
11/20/2023,VERSEMENT / COTISATION,15.00,,"20nov 20nov VERSEMENT / COTISATION 15,00",,,,,
11/24/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-917.08,,"24nov 24nov PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 917,08",,,,,
11/02/2023,DARTY.COM 907040 SITE I,-149.00,,"2 nov 12 déc DARTY.COM 907040 SITE I BONDY 149,00",,BONDY,,,
11/21/2023,THUISBEZORGD.NL*THUISBE,21.00,,"21 nov 21 nov THUISBEZORGD.NL*THUISBE ENSCHEDE 21,00",,ENSCHEDE,,,
11/23/2023,NESPRESSO NEDERLAND BV AMSTELVEEN,45.20,,"23 nov 23 nov NESPRESSO NEDERLAND BV AMSTELVEEN 45,20",,,,,
11/29/2023,WEBLOYALTY SARL,18.00,,"29nov 29nov WEBLOYALTY SARL NYON 18,00",,NYON,,,
11/29/2023,KRYTERION WEBASSESSOR,188.05,,"29nov 29nov KRYTERION WEBASSESSOR PHOENIX 188,05",,PHOENIX,,,
12/05/2023,THUISBEZORGD.NL*THUISBE,21.00,,"5 déc 5 déc THUISBEZORGD.NL*THUISBE ENSCHEDE 21,00",,ENSCHEDE,,,
12/06/2023,KRYTERION WEBASSESSOR,76.04,,"6 déc 6 déc KRYTERION WEBASSESSOR PHOENIX 76,04",,PHOENIX,,,
12/06/2023,AMAZON EU SARL,105.92,,"6 déc 6 déc AMAZON EU SARL GUYANCOURT 105,92",,GUYANCOURT,,,
12/09/2023,FOOD TICKET B.V.*GANGNA,31.10,,"9 déc 9 déc FOOD TICKET B.V.*GANGNA HUIZEN 31,10",,HUIZEN,,,
12/11/2023,KRYTERION WEBASSESSOR,76.56,,"11 déc 11 déc KRYTERION WEBASSESSOR PHOENIX 76,56",,PHOENIX,,,
12/12/2023,FNACDIRECT FNACDIRECT,269.99,,"12 déc 12 déc FNACDIRECT FNACDIRECT IVRY SUR SEINE 269,99",,IVRY SUR SEINE,,,
12/12/2023,KRYTERION WEBASSESSOR,52.11,,"12 déc 12 déc KRYTERION WEBASSESSOR PHOENIX 52,11",,PHOENIX,,,
12/12/2023,THUISBEZORGD.NL*THUISBE,21.00,,"12 déc 12 déc THUISBEZORGD.NL*THUISBE ENSCHEDE 21,00",,ENSCHEDE,,,
12/13/2023,KRYTERION WEBASSESSOR,76.25,,"13 déc 13 déc KRYTERION WEBASSESSOR PHOENIX 76,25",,PHOENIX,,,
12/13/2023,AIR FRANCE COMPTOIR AIR FRANCE,64.05,,"13 déc 14 déc AIR FRANCE COMPTOIR AIR FRANCE 64,05",,,,,
12/14/2023,KRYTERION WEBASSESSOR,76.21,,"14 déc 14 déc KRYTERION WEBASSESSOR PHOENIX 76,21",,PHOENIX,,,
12/15/2023,KRYTERION WEBASSESSOR,75.46,,"15 déc 15 déc KRYTERION WEBASSESSOR PHOENIX 75,46",,PHOENIX,,,
12/15/2023,MICROSOFT*STORE MSBILL.INFO,23.06,,"15 déc 15 déc MICROSOFT*STORE MSBILL.INFO 23,06",,,,,
12/15/2023,AMAZON PAYMENT EUROPE,620.67,,"15 déc 15 déc AMAZON PAYMENT EUROPE LUXEMBOURG 620,67",,LUXEMBOURG,,,
12/16/2023,"EXAMTOPICS FABULIVE UNIT B, 17/F.,",39.99,,"16 déc 15 déc EXAMTOPICS FABULIVE UNIT B, 17/F., 39,99",,,,,
12/16/2023,KRYTERION WEBASSESSOR,37.65,,"16 déc 16 déc KRYTERION WEBASSESSOR PHOENIX 37,65",,PHOENIX,,,
12/17/2023,WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX,804.98,,"17 déc 17 déc WWW.CDISCOUNT.COM/ATOS BORDEAUX CEDEX 804,98",,,,,
12/17/2023,KRYTERION WEBASSESSOR,51.34,,"17 déc 17 déc KRYTERION WEBASSESSOR PHOENIX 51,34",,PHOENIX,,,
12/17/2023,KRYTERION WEBASSESSOR,75.30,,"17 déc 17 déc KRYTERION WEBASSESSOR PHOENIX 75,30",,PHOENIX,,,
12/17/2023,THUISBEZORGD.NL*THUISBE,10.75,,"17 déc 17 déc THUISBEZORGD.NL*THUISBE ENSCHEDE 10,75",,ENSCHEDE,,,
12/20/2023,VERSEMENT / COTISATION,15.00,,"20déc 20déc VERSEMENT / COTISATION 15,00",,,,,
12/26/2023,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-2747.68,,"26déc 26déc PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 2 747,68",,,,,
12/20/2023,KRYTERION WEBASSESSOR,75.14,,"20déc 20déc KRYTERION WEBASSESSOR PHOENIX 75,14",,PHOENIX,,,
12/28/2023,AMAZON PAYMENT EUROPE,20.99,,"28déc 28déc AMAZON PAYMENT EUROPE LUXEMBOURG 20,99",,LUXEMBOURG,,,
12/29/2023,WEBLOYALTY SARL,18.00,,"29déc 29déc WEBLOYALTY SARL NYON 18,00",,NYON,,,
12/30/2023,SNCF EUROPE FRANCE SNCF,15.00,,"30 déc 30 déc SNCF EUROPE FRANCE SNCF PARIS 15,00",,PARIS,,,
01/01/2024,EASYJET*EASYJET K6LSBZC,120.49,,"1 jan 1 jan EASYJET*EASYJET K6LSBZC LUTON 120,49",,LUTON,,,
01/06/2024,WWW.PLANITY.COM,60.00,,"6 jan 6 jan WWW.PLANITY.COM PARIS 60,00",,PARIS,,,
01/07/2024,AMAZON PAYMENT EUROPE,-549.99,,"7 jan 7 jan AMAZON PAYMENT EUROPE LUXEMBOURG 549,99",,LUXEMBOURG,,,
01/07/2024,AMAZON PAYMENT EUROPE,-49.99,,"7 jan 7 jan AMAZON PAYMENT EUROPE LUXEMBOURG 49,99",,LUXEMBOURG,,,
01/09/2024,AMAZON PAYMENT EUROPE,-20.69,,"9 jan 9 jan AMAZON PAYMENT EUROPE LUXEMBOURG 20,69",,LUXEMBOURG,,,
01/11/2024,AVIANCA AVIANCA,267.41,,"11 jan 11 jan AVIANCA AVIANCA ARGENTINA 267,41",,ARGENTINA,,,
01/11/2024,AGODA.COM*AGODA.COM HOT,207.96,,"11 jan 14 jan AGODA.COM*AGODA.COM HOT LONDON 207,96",,LONDON,,,
01/12/2024,THUISBEZORGD.NL*THUISBE,41.50,,"12 jan 12 jan THUISBEZORGD.NL*THUISBE ENSCHEDE 41,50",,ENSCHEDE,,,
01/15/2024,FNAC DIRECT FNAC DIRECT,0.06,,"15 jan 15 jan FNAC DIRECT FNAC DIRECT IVRY SUR SEINE 0,06",,IVRY SUR SEINE,,,
01/16/2024,THUISBEZORGD.NL*THUISBE,21.00,,"16 jan 16 jan THUISBEZORGD.NL*THUISBE ENSCHEDE 21,00",,ENSCHEDE,,,
01/18/2024,BOOKING.COM B.V.,161.97,,"18 jan 18 jan BOOKING.COM B.V. AMSTERDAM 161,97",,AMSTERDAM,,,
01/19/2024,AMZN MKTP NL*594ZY9NM5,19.99,,"19 jan 19 jan AMZN MKTP NL*594ZY9NM5 AMAZON.NL 19,99",,AMAZON.NL,,,
01/20/2024,VERSEMENT / COTISATION,15.00,,"20jan 20jan VERSEMENT / COTISATION 15,00",,,,,
01/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-423.84,,"24jan 24jan PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 423,84",,,,,
01/23/2024,THUISBEZORGD.NL*THUISBE,21.00,,"23 jan 23 jan THUISBEZORGD.NL*THUISBE ENSCHEDE 21,00",,ENSCHEDE,,,
01/26/2024,FOOD TICKET B.V.*GANGNA,13.55,,"26jan 26jan FOOD TICKET B.V.*GANGNA HUIZEN 13,55",,HUIZEN,,,
01/29/2024,WEBLOYALTY SARL,18.00,,"29jan 29jan WEBLOYALTY SARL NYON 18,00",,NYON,,,
01/30/2024,AMAZON PAYMENT EUROPE,5.77,,"30 jan 30 jan AMAZON PAYMENT EUROPE LUXEMBOURG 5,77",,LUXEMBOURG,,,
02/01/2024,AGODA.COM*AGODA.COM HOT,76.66,,"1 fév 4 fév AGODA.COM*AGODA.COM HOT LONDON 76,66",,LONDON,,,
02/02/2024,AGODA.COM*AGODA.COM HOT,68.27,,"2 fév 5 fév AGODA.COM*AGODA.COM HOT LONDON 68,27",,LONDON,,,
02/03/2024,AGODA.COM*AGODA.COM HOT,68.23,,"3 fév 6 fév AGODA.COM*AGODA.COM HOT LONDON 68,23",,LONDON,,,
02/04/2024,AVIANCA BOGOTA D.C.,55.83,,"4 fév 5 fév AVIANCA BOGOTA D.C. 55,83",,,,,
02/04/2024,AGODA.COM*AGODA.COM HOT,68.23,,"4 fév 7 fév AGODA.COM*AGODA.COM HOT LONDON 68,23",,LONDON,,,
02/05/2024,AVIANCA AVIANCA,48.36,,"5 fév 5 fév AVIANCA AVIANCA ARGENTINA 48,36",,ARGENTINA,,,
02/07/2024,AGODA.COM*AGODA.COM MIR,60.20,,"7 fév 9 fév AGODA.COM*AGODA.COM MIR LONDON 60,20",,LONDON,,,
02/14/2024,BOOKING.COM B.V.,140.97,,"14 fév 14 fév BOOKING.COM B.V. AMSTERDAM 140,97",,AMSTERDAM,,,
02/14/2024,AGODA.COM*AGODA.COM LIV,143.27,,"14 fév 16 fév AGODA.COM*AGODA.COM LIV LONDON 143,27",,LONDON,,,
02/20/2024,AIRBNB * HM93F8YHFW,80.30,,"20fév 20fév AIRBNB * HM93F8YHFW LONDON 80,30",,LONDON,,,
02/20/2024,VERSEMENT / COTISATION,15.00,,"20fév 20fév VERSEMENT / COTISATION 15,00",,,,,
02/26/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-883.64,,"26fév 26fév PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 883,64",,,,,
02/18/2024,AGODA.COM*AGODA.COM LIV,55.08,,"18 fév 21 fév AGODA.COM*AGODA.COM LIV LONDON 55,08",,LONDON,,,
02/22/2024,AIRBNB * HMCA32XSDJ,73.56,,"22 fév 22 fév AIRBNB * HMCA32XSDJ LONDON 73,56",,LONDON,,,
02/24/2024,AIRBNB * HMCA32XSDJ,56.24,,"24fév 25fév AIRBNB * HMCA32XSDJ LONDON 56,24",,LONDON,,,
02/26/2024,AIRBNB * HMCA32XSDJ,86.54,,"26fév 27 fév AIRBNB * HMCA32XSDJ LONDON 86,54",,LONDON,,,
02/26/2024,AIR FRANCE COMPTOIR AIR FRANCE,137.92,,"26fév 27 fév AIR FRANCE COMPTOIR AIR FRANCE 137,92",,,,,
02/27/2024,AIRBNB * HMNY2K88KJ,138.10,,"27 fév 27 fév AIRBNB * HMNY2K88KJ LONDON 138,10",,LONDON,,,
02/29/2024,WEBLOYALTY SARL,18.00,,"29fév 29fév WEBLOYALTY SARL NYON 18,00",,NYON,,,
03/01/2024,AIRBNB * HM8MMFYA2B,76.67,,"1 mars 1 mars AIRBNB * HM8MMFYA2B LONDON 76,67",,LONDON,,,
03/01/2024,AIRBNB * HMNY2K88KJ,-138.10,,"1 mars 1 mars AIRBNB * HMNY2K88KJ LONDON 138,10",,LONDON,,,
03/01/2024,AIRBNB * HM8MMFYA2B,59.42,,"1 mars 2 mars AIRBNB * HM8MMFYA2B LONDON 59,42",,LONDON,,,
03/09/2024,AIR FRANCE COMPTOIR AIR FRANCE,45.74,,"9 mars 10 mars AIR FRANCE COMPTOIR AIR FRANCE 45,74",,,,,
03/20/2024,VERSEMENT / COTISATION,15.00,,"20mars 20mars VERSEMENT / COTISATION 15,00",,,,,
03/25/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-624.17,,"25mars 25mars PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 624,17",,,,,
03/21/2024,EASYJET*EASYJET K74K44D,98.54,,"21 mars 21 mars EASYJET*EASYJET K74K44D LUTON 98,54",,LUTON,,,
03/21/2024,THUISBEZORGD.NL*THUISBE,18.50,,"21 mars 21 mars THUISBEZORGD.NL*THUISBE ENSCHEDE 18,50",,ENSCHEDE,,,
03/28/2024,SNCF EUROPE FRANCE SNCF,21.40,,"28mars 28mars SNCF EUROPE FRANCE SNCF PARIS 21,40",,PARIS,,,
03/29/2024,WEBLOYALTY SARL,18.00,,"29mars 29mars WEBLOYALTY SARL NYON 18,00",,NYON,,,
03/30/2024,VUELING AIRLINES SA,549.96,,"30 mars 30 mars VUELING AIRLINES SA BARCELONA 549,96",,BARCELONA,,,
04/01/2024,KLM,47.31,,"1 avr 2 avr KLM PARIS 47,31",,PARIS,,,
04/20/2024,VERSEMENT / COTISATION,15.00,,"20avr 20avr VERSEMENT / COTISATION 15,00",,,,,
04/24/2024,PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI,-768.71,,"24avr 24avr PRELEVEMENT AUTOMATIQUE ENREGISTRE-MERCI 768,71",,,,,
04/29/2024,WEBLOYALTY SARL,18.00,,"29avr 29avr WEBLOYALTY SARL NYON 18,00",,NYON,,,
05/17/2024,FNACDIRECT FNACDIRECT,950.01,,"17 mai 17 mai FNACDIRECT FNACDIRECT IVRY SUR SEINE 950,01",,IVRY SUR SEINE,,,
05/19/2024,EASYJET*EASYJET K7GGQ94,154.04,,"19 mai 19 mai EASYJET*EASYJET K7GGQ94 LUTON 154,04",,LUTON,,,
05/20/2024,VERSEMENT / COTISATION,15.00,,"20mai 20mai VERSEMENT / COTISATION 15,00",,,,,
